Monat;SPD-trends;CDU-trends;CSU-trends;FDP-trends;Grüne-trends
2004-01;25;22;8;9;13
2004-02;30;22;7;10;12
2004-03;33;25;5;9;13
2004-04;25;19;7;8;8
2004-05;29;25;6;12;14
2004-06;39;36;7;18;18
2004-07;19;18;6;8;7
2004-08;25;19;3;9;11
2004-09;41;33;5;19;18
2004-10;21;24;5;9;11
2004-11;23;25;8;9;14
2004-12;21;26;4;9;9
2005-01;24;22;6;10;11
2005-02;27;24;6;11;13
2005-03;28;25;6;10;11
2005-04;30;28;4;12;12
2005-05;44;43;5;18;16
2005-06;29;43;6;14;13
2005-07;35;42;6;14;16
2005-08;48;59;11;25;25
2005-09;97;100;19;49;52
2005-10;32;28;6;10;11
2005-11;39;31;8;9;8
2005-12;19;16;4;7;6
2006-01;21;19;4;9;8
2006-02;21;21;4;9;9
2006-03;32;27;5;12;11
2006-04;22;17;3;7;7
2006-05;20;17;4;8;8
2006-06;17;15;3;7;6
2006-07;15;14;3;5;6
2006-08;20;19;2;8;8
2006-09;24;23;5;10;10
2006-10;19;15;5;6;8
2006-11;22;17;4;7;8
2006-12;15;12;5;6;8
2007-01;19;15;11;7;7
2007-02;17;15;6;7;7
2007-03;20;15;6;7;8
2007-04;16;15;4;6;6
2007-05;17;17;4;7;7
2007-06;17;13;4;7;7
2007-07;16;11;5;6;5
2007-08;16;12;4;6;5
2007-09;19;17;9;7;7
2007-10;24;15;9;7;7
2007-11;23;17;8;8;10
2007-12;18;16;7;7;7
2008-01;33;26;13;16;13
2008-02;28;19;14;12;10
2008-03;32;15;18;9;8
2008-04;19;16;4;7;8
2008-05;20;16;4;8;7
2008-06;17;15;5;7;7
2008-07;15;11;5;6;5
2008-08;17;12;4;6;5
2008-09;30;17;16;12;9
2008-10;18;14;9;8;7
2008-11;22;16;4;7;9
2008-12;16;15;4;7;6
2009-01;22;19;5;13;9
2009-02;18;17;6;10;7
2009-03;22;20;5;10;8
2009-04;22;16;4;10;8
2009-05;26;25;6;18;12
2009-06;34;29;6;20;15
2009-07;19;16;4;9;7
2009-08;41;39;5;22;17
2009-09;74;69;15;66;44
2009-10;23;22;6;24;11
2009-11;21;18;3;13;8
2009-12;13;11;3;8;5
2010-01;14;12;5;11;7
2010-02;15;12;3;12;7
2010-03;17;13;3;10;7
2010-04;17;15;2;11;8
2010-05;19;16;3;11;9
2010-06;15;13;3;8;6
2010-07;12;9;2;6;5
2010-08;12;10;3;5;7
2010-09;17;14;3;7;8
2010-10;13;13;4;7;8
2010-11;14;16;3;8;10
2010-12;11;11;2;8;6
2011-01;17;15;7;10;10
2011-02;24;19;5;11;11
2011-03;30;30;7;15;27
2011-04;19;12;4;15;12
2011-05;20;14;3;14;13
2011-06;15;12;3;8;10
2011-07;14;12;3;7;8
2011-08;17;18;3;8;9
2011-09;24;21;4;19;13
2011-10;15;14;4;8;8
2011-11;19;16;4;9;10
2011-12;17;12;3;12;6
2012-01;16;14;5;11;9
2012-02;17;13;4;8;8
2012-03;18;16;4;12;9
2012-04;19;14;3;12;9
2012-05;24;19;4;13;11
2012-06;15;10;3;5;8
2012-07;12;9;3;5;5
2012-08;12;10;2;5;5
2012-09;16;11;4;6;7
2012-10;16;11;5;7;7
2012-11;17;13;4;7;12
2012-12;15;13;3;6;6
2013-01;22;17;4;14;10
2013-02;18;13;5;9;9
2013-03;18;12;4;8;8
2013-04;19;11;4;7;10
2013-05;20;13;5;8;10
2013-06;18;13;4;7;9
2013-07;15;11;5;6;7
2013-08;31;22;6;14;16
2013-09;68;64;18;53;41
2013-10;19;15;6;9;11
2013-11;26;15;7;7;8
2013-12;27;12;7;8;6
2014-01;21;13;11;7;7
2014-02;23;14;13;6;7
2014-03;22;14;13;6;8
2014-04;18;16;4;6;7
2014-05;30;30;6;12;13
2014-06;13;10;2;4;5
2014-07;12;8;3;3;5
2014-08;10;8;2;4;4
2014-09;14;12;3;7;6
2014-10;12;10;3;4;6
2014-11;13;10;3;4;7
2014-12;12;14;5;4;5
2015-01;13;11;4;13;6
2015-02;14;13;4;9;6
2015-03;14;11;4;5;6
2015-04;11;10;6;4;5
2015-05;12;9;3;7;6
2015-06;13;11;3;4;6
2015-07;11;12;4;3;5
2015-08;11;9;3;3;4
2015-09;15;13;7;4;6
2015-10;13;13;7;5;6
2015-11;15;15;8;5;7
2015-12;14;15;4;4;5
2016-01;15;17;8;6;7
2016-02;18;20;5;9;9
2016-03;22;24;5;12;16
2016-04;14;13;4;7;7
2016-05;14;11;4;4;6
2016-06;12;11;5;4;8
2016-07;13;9;4;4;6
2016-08;15;13;3;6;6
2016-09;23;23;7;8;11
2016-10;13;12;5;5;6
2016-11;17;14;6;6;10
2016-12;13;17;5;5;7
2017-01;22;14;6;8;12
2017-02;25;13;6;7;8
2017-03;23;15;5;7;9
2017-04;17;14;3;10;8
2017-05;31;25;4;21;11
2017-06;20;15;4;8;8
2017-07;16;15;6;9;8
2017-08;25;23;6;18;13
2017-09;68;63;27;72;37
2017-10;18;17;9;15;10
2017-11;24;14;10;17;10
2017-12;23;12;7;7;5
2018-01;43;14;7;7;9
2018-02;56;25;7;7;7
2018-03;45;14;7;6;6
2018-04;17;11;5;6;6
2018-05;14;9;5;6;6
2018-06;12;9;2;3;6
