Monat;SPD-trends;CDU-trends;Linke-trends;AfD-trends
2004-01;9;8;1;0
2004-02;11;8;0;0
2004-03;12;9;1;0
2004-04;9;7;0;0
2004-05;11;10;1;0
2004-06;15;14;0;0
2004-07;7;7;0;0
2004-08;9;7;0;0
2004-09;15;13;0;0
2004-10;8;9;0;0
2004-11;9;9;0;0
2004-12;8;10;0;0
2005-01;9;8;0;0
2005-02;10;9;0;0
2005-03;11;9;0;0
2005-04;11;10;0;0
2005-05;17;16;0;0
2005-06;11;16;1;0
2005-07;13;16;4;0
2005-08;18;22;9;0
2005-09;37;38;16;0
2005-10;12;11;3;0
2005-11;15;12;2;0
2005-12;7;6;1;0
2006-01;8;7;2;0
2006-02;8;8;1;0
2006-03;12;10;2;0
2006-04;8;6;1;0
2006-05;8;6;1;0
2006-06;7;6;1;0
2006-07;5;5;1;0
2006-08;7;7;1;0
2006-09;9;9;2;0
2006-10;7;6;1;0
2006-11;8;6;1;0
2006-12;6;5;1;0
2007-01;7;6;1;0
2007-02;6;6;1;0
2007-03;7;6;2;0
2007-04;6;6;1;0
2007-05;6;6;2;0
2007-06;6;5;5;0
2007-07;6;4;3;0
2007-08;6;5;3;0
2007-09;7;6;3;0
2007-10;9;6;3;0
2007-11;9;7;3;0
2007-12;7;6;2;0
2008-01;12;10;6;0
2008-02;10;7;6;0
2008-03;12;6;4;0
2008-04;7;6;4;0
2008-05;8;6;4;0
2008-06;7;5;3;0
2008-07;6;4;2;0
2008-08;6;5;3;0
2008-09;11;6;5;0
2008-10;7;5;3;0
2008-11;8;6;4;0
2008-12;6;6;3;0
2009-01;8;7;4;0
2009-02;7;6;3;0
2009-03;8;8;3;0
2009-04;8;6;3;0
2009-05;10;9;4;0
2009-06;13;11;5;0
2009-07;7;6;3;0
2009-08;15;15;8;0
2009-09;28;26;19;0
2009-10;9;8;4;0
2009-11;8;7;3;0
2009-12;5;4;2;0
2010-01;5;5;3;0
2010-02;6;5;2;0
2010-03;6;5;3;0
2010-04;6;6;3;0
2010-05;7;6;5;0
2010-06;6;5;3;0
2010-07;4;3;2;0
2010-08;5;4;2;0
2010-09;7;5;2;0
2010-10;5;5;2;0
2010-11;5;6;2;0
2010-12;4;4;2;0
2011-01;7;6;3;0
2011-02;9;7;3;0
2011-03;11;11;4;0
2011-04;7;5;2;0
2011-05;8;5;2;0
2011-06;5;5;2;0
2011-07;5;5;2;0
2011-08;6;7;3;0
2011-09;9;8;4;0
2011-10;6;5;3;0
2011-11;7;6;3;0
2011-12;6;4;2;0
2012-01;6;5;3;0
2012-02;6;5;3;0
2012-03;7;6;3;0
2012-04;7;5;3;0
2012-05;9;7;4;0
2012-06;6;4;3;0
2012-07;4;3;2;0
2012-08;4;4;2;0
2012-09;6;4;2;0
2012-10;6;4;2;0
2012-11;7;5;2;0
2012-12;6;5;2;0
2013-01;8;6;2;0
2013-02;7;5;2;0
2013-03;7;5;2;6
2013-04;7;4;2;11
2013-05;7;5;2;8
2013-06;7;5;2;5
2013-07;6;4;2;5
2013-08;12;8;4;12
2013-09;26;24;13;45
2013-10;7;6;2;5
2013-11;10;6;2;3
2013-12;10;5;2;3
2014-01;8;5;2;4
2014-02;9;5;2;4
2014-03;8;5;2;4
2014-04;7;6;2;4
2014-05;11;11;4;16
2014-06;5;4;2;4
2014-07;4;3;2;3
2014-08;4;3;2;5
2014-09;5;4;2;13
2014-10;5;4;2;7
2014-11;5;4;3;5
2014-12;4;5;2;5
2015-01;5;4;2;7
2015-02;5;5;2;5
2015-03;5;4;2;3
2015-04;4;4;2;4
2015-05;4;4;2;5
2015-06;5;4;2;4
2015-07;4;4;2;8
2015-08;4;4;1;4
2015-09;6;5;2;7
2015-10;5;5;2;14
2015-11;5;6;2;15
2015-12;5;6;2;12
2016-01;6;7;2;22
2016-02;7;7;3;26
2016-03;8;9;3;53
2016-04;5;5;2;16
2016-05;5;4;2;20
2016-06;5;4;2;15
2016-07;5;3;1;14
2016-08;6;5;2;14
2016-09;9;9;3;32
2016-10;5;5;2;13
2016-11;6;5;2;15
2016-12;5;6;2;16
2017-01;8;5;2;16
2017-02;9;5;2;14
2017-03;9;6;2;14
2017-04;7;5;3;20
2017-05;12;9;4;16
2017-06;8;6;3;10
2017-07;6;6;3;11
2017-08;9;9;5;20
2017-09;25;24;16;100
2017-10;7;6;2;20
2017-11;9;5;2;14
2017-12;9;4;1;16
2018-01;16;5;2;16
2018-02;21;9;2;20
2018-03;17;5;2;16
2018-04;7;4;2;14
2018-05;5;3;1;17
2018-06;5;3;2;13
